order_id,customer_id,product_id,order_date,quantity,unit_price,discount,revenue,profit,region
ORD-76918416,CUST-120833,PROD-332427,2023-07-12,11,24.2,0.1,239.58,83.75,West
ORD-19784470,CUST-555192,PROD-233045,2023-07-12,3,31.24,0.1,84.35,30.56,Central
ORD-84228061,CUST-162309,PROD-992635,2023-07-12,14,74.31,0.1,936.31,359.73,South
ORD-43966295,CUST-919134,PROD-847687,2023-07-12,6,189.42,0.0,1136.52,486.48,South
ORD-55307904,CUST-131340,PROD-262490,2023-07-13,8,173.54,0.3,971.82,529.48,West
ORD-09792891,CUST-909576,PROD-447641,2023-07-13,3,45.06,0.0,135.18,57.93,East
ORD-95757621,CUST-616027,PROD-348581,2023-07-13,5,37.05,0.2,148.2,48.72,South
ORD-50128733,CUST-959391,PROD-367544,2023-07-13,3,44.74,0.3,93.95,26.96,Central
ORD-22678733,CUST-516950,PROD-262490,2023-07-13,4,173.54,0.3,485.91,264.74,West
ORD-28599520,CUST-502118,PROD-266559,2023-07-14,14,74.66,0.0,1045.24,548.66,Central
ORD-87360929,CUST-728315,PROD-765354,2023-07-14,5,49.82,0.15,211.73,98.0,East
ORD-62615853,CUST-868703,PROD-966053,2023-07-14,14,27.49,0.1,346.37,125.24,Central
ORD-34916367,CUST-893452,PROD-847687,2023-07-14,12,189.42,0.05,2159.39,924.31,South
ORD-71340150,CUST-868703,PROD-071235,2023-07-15,6,1615.39,0.1,8723.11,4208.71,Central
ORD-03814903,CUST-120833,PROD-154902,2023-07-15,10,28.02,0.15,238.17,105.66,West
ORD-09415902,CUST-112030,PROD-266559,2023-07-15,1,74.66,0.05,70.93,37.23,East
ORD-78160881,CUST-944433,PROD-740649,2023-07-15,1,776.62,0.0,776.62,298.75,North
ORD-97846946,CUST-368606,PROD-345658,2023-07-15,14,130.77,0.05,1739.24,927.67,South
ORD-96543747,CUST-870123,PROD-338574,2023-07-16,8,140.36,0.2,898.3,452.1,West
ORD-80716523,CUST-555192,PROD-610074,2023-07-16,12,43.36,0.3,364.22,137.17,Central
ORD-72599317,CUST-679883,PROD-348581,2023-07-16,8,37.05,0.15,251.94,82.82,West
ORD-62616219,CUST-093957,PROD-795618,2023-07-16,4,772.66,0.1,2781.58,1297.4,West
ORD-32377812,CUST-986908,PROD-547578,2023-07-17,5,62.53,0.3,218.85,106.26,South
ORD-43292125,CUST-131340,PROD-255661,2023-07-17,9,39.73,0.05,339.69,123.63,West
ORD-99705944,CUST-967722,PROD-059120,2023-07-17,15,224.45,0.15,2861.74,1023.95,West
ORD-80347830,CUST-112121,PROD-359818,2023-07-17,6,282.08,0.0,1692.48,635.82,North
ORD-39232991,CUST-300868,PROD-618068,2023-07-17,8,96.1,0.0,768.8,242.08,West
ORD-20392147,CUST-238767,PROD-266559,2023-07-18,8,74.66,0.0,597.28,313.52,North
ORD-51761632,CUST-287356,PROD-677815,2023-07-18,14,24.04,0.3,235.59,101.23,East
